"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","579","test_filename_query","M1","Mon Mar 10 13:50:30 CST 2025","passed","Mon Mar 10 13:50:30 CST 2025","","analysis_test","",""
"","5","test_loginout","M1","Mon Mar 10 13:50:39 CST 2025","passed","Mon Mar 10 13:50:39 CST 2025","","login_test","",""
"","8","test_login_errorPwd","M1","Mon Mar 10 13:50:38 CST 2025","passed","Mon Mar 10 13:50:38 CST 2025","","login_test","",""
"","0","test_deleteCase","M1","Mon Mar 10 13:50:38 CST 2025","passed","Mon Mar 10 13:50:38 CST 2025","","caseBuild_test","",""
"","37","test_commitTime_query","M1","Mon Mar 10 13:50:32 CST 2025","passed","Mon Mar 10 13:50:32 CST 2025","","analysis_test","",""
"","47","test_errorInfo_query","M1","Mon Mar 10 13:50:32 CST 2025","passed","Mon Mar 10 13:50:32 CST 2025","","analysis_test","",""
"","39","test_commitCompany_query","M1","Mon Mar 10 13:50:32 CST 2025","passed","Mon Mar 10 13:50:32 CST 2025","","analysis_test","",""
"","1215","test_province_query","M1","Mon Mar 10 13:50:31 CST 2025","passed","Mon Mar 10 13:50:32 CST 2025","","analysis_test","",""
"","2877","test_caseBuild_duration","M1","Mon Mar 10 13:50:32 CST 2025","passed","Mon Mar 10 13:50:35 CST 2025","","caseBuild_test","",""
"","16","test_login_success","M1","Mon Mar 10 13:50:38 CST 2025","passed","Mon Mar 10 13:50:38 CST 2025","","login_test","",""
"","22","test_login_inexistentUser","M1","Mon Mar 10 13:50:38 CST 2025","passed","Mon Mar 10 13:50:38 CST 2025","","login_test","",""
